I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
80.154;;7/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;FERTILIZACION;$ 8.201,5;;0,68;;;juanpablo;;Día Lab.;Confirmada
80.153;;7/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 6.240,8;;0,52;;;juanpablo;;Día Lab.;Confirmada
80.152;;7/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 12.457,8;;1,04;;;juanpablo;;Día Lab.;Confirmada
80.151;;7/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;FERTILIZACION;$ 6.910,6;;0,58;;;juanpablo;;Día Lab.;Confirmada
80.15;;7/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.428,1;;0,46;;;juanpablo;;Día Lab.;Confirmada
80.149;;7/3/2026;La Chimbera;17;17 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.428,1;;0,46;;;juanpablo;;Día Lab.;Confirmada
80.148;;7/3/2026;La Chimbera;15;15 - Ha:3.700, Pl:5900;;Flame;APLICACIONES;FERTILIZACION;$ 9.134,5;;0,76;;;juanpablo;;Día Lab.;Confirmada
80.147;;7/3/2026;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;FERTILIZACION;$ 7.723,6;;0,64;;;juanpablo;;Día Lab.;Confirmada
80.146;;7/3/2026;La Chimbera;24;24 - Ha:2.800, Pl:4536;;Arizul;APLICACIONES;FERTILIZACION;$ 7.460,6;;0,62;;;juanpablo;;Día Lab.;Confirmada
80.145;;7/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 11.717,0;;0,98;;;juanpablo;;Día Lab.;Confirmada
80.144;;7/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;FERTILIZACION;$ 8.201,9;;0,68;;;juanpablo;;Día Lab.;Confirmada
80.143;;7/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 6.241,1;;0,52;;;juanpablo;;Día Lab.;Confirmada
80.142;;7/3/2026;La Chimbera;16;16 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 12.458,3;;1,04;;;juanpablo;;Día Lab.;Confirmada
80.141;;7/3/2026;La Chimbera;25;25 - Ha:2.800, Pl:4544;;Arizul;APLICACIONES;FERTILIZACION;$ 6.910,6;;0,58;;;juanpablo;;Día Lab.;Confirmada
80.14;;7/3/2026;La Chimbera;19;19 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.428,1;;0,46;;;juanpablo;;Día Lab.;Confirmada
80.139;;7/3/2026;La Chimbera;17;17 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 5.428,1;;0,46;;;juanpablo;;Día Lab.;Confirmada
80.138;;7/3/2026;La Chimbera;15;15 - Ha:3.700, Pl:5900;;Flame;APLICACIONES;FERTILIZACION;$ 9.134,5;;0,76;;;juanpablo;;Día Lab.;Confirmada
80.137;;7/3/2026;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;FERTILIZACION;$ 7.723,6;;0,64;;;juanpablo;;Día Lab.;Confirmada
