id;codigo;faena;tipo;finca;labor;precio;rendimiento;id labor
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;MUGRONES ;$ 0,00;0;147
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO;$ 0,00;0;149
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ATADO CUERPO CEPA ;$ 0,00;0;150
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;RETAPADO ;$ 0,00;0;151
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESNIETE, DESHOJE;$ 0,00;0;181
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;RALEO DE RACIMOS(30CM);$ 0,00;0;182
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DOV 1;$ 0,00;0;201
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DOV 2;$ 0,00;0;202
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DOV 3;$ 0,00;0;203
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE CON CRITERIO DE PODA;$ 0,00;0;204
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE PLANTAS REINJERTADAS 1;$ 0,00;0;205
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE PLANTAS REINJERTADAS 2;$ 0,00;0;206
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE PLANTAS REINJERTADAS 3;$ 0,00;0;207
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;ACOMODO DE BROTE POST ZONDA;$ 0,00;0;219
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 7;$ 0,00;0;232
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 8;$ 0,00;0;233
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 9;$ 0,00;0;241
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE TRONCO 10;$ 0,00;0;245
87; CF004;TRABAJOS VERDE;Labor Agrícola;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;DESBROTE DE PLANTAS REINJERTADAS 4;$ 0,00;0;296
88;CF005;COSECHA;Cosecha;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;COSECHA CAJONES;$ 0,00;0;50
88;CF005;COSECHA;Cosecha;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;COSECHA BINES;$ 300,00;0;51
88;CF005;COSECHA;Cosecha;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....; SUPERVISION COSECHA;$ 0,00;0;52
88;CF005;COSECHA;Cosecha;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....; COSECHA MECANICA;$ 0,00;0;53
88;CF005;COSECHA;Cosecha;Camino Truncado, Puente Alto y La Chimbera<br>El espejo<br>Predio test (cambiar Nombre)....;TRACTORISTA UÑAS;$ 0,00;0;54
