Finca;Predio;Cuartel;Variedad;Has;Año;Ciclo;Kg;Estado;Referencia
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2016;2015-2016;70.660;Uva;La Chimbera 15 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2017;2016-2017;15.753;Uva;La Chimbera 15 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2018;2017-2018;99.475;Uva;La Chimbera 15 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2019;2018-2019;64.798;Uva;La Chimbera 15 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2020;2019-2020;153.644;Uva;La Chimbera 15 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2021;2020-2021;71.131;Uva;La Chimbera 15 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2022;2021-2022;5.795;Uva;La Chimbera 15 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2023;2022-2023;136.308;Uva;La Chimbera 15 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;15;Flame;3,69;2024;2023-2024;152.182;Uva;La Chimbera 15 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;20;Fiesta;4,4;2025;2024-2025;121.200;Uva;La Chimbera 20 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2013;2012-2013;9.084;Uva;La Chimbera 16 2013
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2014;2013-2014;43.915;Uva;La Chimbera 16 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2015;2014-2015;100.285;Uva;La Chimbera 16 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2016;2015-2016;127.820;Uva;La Chimbera 16 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2017;2016-2017;64.071;Uva;La Chimbera 16 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2018;2017-2018;78.752;Uva;La Chimbera 16 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2019;2018-2019;54.230;Uva;La Chimbera 16 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2020;2019-2020;191.231;Uva;La Chimbera 16 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2021;2020-2021;210.571;Uva;La Chimbera 16 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2022;2021-2022;174.185;Uva;La Chimbera 16 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2023;2022-2023;184.715;Uva;La Chimbera 16 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;16;Flame;4,4;2024;2023-2024;187.200;Uva;La Chimbera 16 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;20;Fiesta;4,4;2025;2024-2025;26.146;Pasa;La Chimbera 20 2025
